word,is_clueable,zipf,pos,flags,theme_tags,banned,in_must_keep,sources
AA,True,,,,,False,,PLAY|WL
AAH,True,2.81,verb,atomic=True,,False,True,BAS|PLAY|WL|KEEP
AAHED,True,,,,,False,,PLAY|WL
AAHING,True,,,,,False,,PLAY|WL
AAHS,True,,,,,False,,PLAY|WL
AAL,True,,,,,False,,PLAY|WL
AALII,True,,,,,False,,PLAY|WL
AALIIS,True,,,,,False,,PLAY|WL
AALS,True,,,,,False,,PLAY|WL
AARDVARK,True,,,,,False,,PLAY|WL
AARDVARKS,True,,,,,False,,PLAY|WL
AARDWOLF,True,,,,,False,,PLAY|WL
AARGH,True,,,,,False,,PLAY|WL
AARRGH,True,,,,,False,,PLAY|WL
AARRGHH,True,,,,,False,,PLAY|WL
AAS,True,2.85,noun,atomic=True,,False,True,BAS|PLAY|WL|KEEP
AASVOGEL,True,,,,,False,,PLAY|WL
AASVOGELS,True,,,,,False,,PLAY|WL
AB,True,,,,,False,,PLAY|WL
ABA,True,3.32,noun,atomic=True,,False,,BAS|PLAY|WL
ABACA,True,,,,,False,,PLAY|WL
ABACAS,True,,,,,False,,PLAY|WL
ABACI,True,,,,,False,,PLAY|WL
ABACK,True,2.99,adv,atomic=True,,False,,BAS|PLAY|WL
ABACUS,True,2.65,noun,atomic=False,,False,,BAS|PLAY|WL
ABACUSES,True,,,,,False,,PLAY|WL
ABAFT,True,,,,,False,,PLAY|WL
ABAKA,True,,,,,False,,PLAY|WL
ABAKAS,True,,,,,False,,PLAY|WL
ABALONE,True,2.66,noun,atomic=True,,False,,BAS|PLAY|WL
ABALONES,True,,,,,False,,PLAY|WL
ABAMP,True,,,,,False,,PLAY|WL
ABAMPERE,True,,,,,False,,PLAY|WL
ABAMPERES,True,,,,,False,,PLAY|WL
ABAMPS,True,,,,,False,,PLAY|WL
ABANDON,True,4.02,noun,atomic=False,,False,,BAS|PLAY|WL
ABANDONED,True,4.4,verb,atomic=False,,False,,BAS|PLAY|WL
ABANDONER,True,,,,,False,,PLAY|WL
ABANDONS,True,2.96,noun,atomic=False,,False,,BAS|PLAY|WL
ABAPICAL,True,,,,,False,,PLAY|WL
ABAS,True,,,,,False,,PLAY|WL
ABASE,True,,,,,False,,PLAY|WL
ABASED,True,,,,,False,,PLAY|WL
ABASEDLY,True,,,,,False,,PLAY|WL
ABASEMENT,True,,,,,False,,PLAY|WL
ABASER,True,,,,,False,,PLAY|WL
ABASERS,True,,,,,False,,PLAY|WL
ABASES,True,,,,,False,,PLAY|WL
ABASH,True,,,,,False,,PLAY|WL
ABASHED,True,,,,,False,,PLAY|WL
ABASHES,True,,,,,False,,PLAY|WL
ABASHING,True,,,,,False,,PLAY|WL
ABASHMENT,True,,,,,False,,PLAY|WL
ABASIA,True,,,,,False,,PLAY|WL
ABASIAS,True,,,,,False,,PLAY|WL
ABASING,True,,,,,False,,PLAY|WL
ABATABLE,True,,,,,False,,PLAY|WL
ABATE,True,2.68,verb,atomic=True,,False,,BAS|PLAY|WL
ABATED,True,,,,,False,,PLAY|WL
ABATEMENT,True,2.73,noun,atomic=False,,False,,BAS|PLAY|WL
ABATER,True,,,,,False,,PLAY|WL
ABATERS,True,,,,,False,,PLAY|WL
ABATES,True,,,,,False,,PLAY|WL
ABATING,True,,,,,False,,PLAY|WL
ABATIS,True,,,,,False,,PLAY|WL
ABATISES,True,,,,,False,,PLAY|WL
ABATOR,True,,,,,False,,PLAY|WL
ABATORS,True,,,,,False,,PLAY|WL
ABATTIS,True,,,,,False,,PLAY|WL
ABATTISES,True,,,,,False,,PLAY|WL
ABATTOIR,True,,,,,False,,PLAY|WL
ABATTOIRS,True,,,,,False,,PLAY|WL
ABAXIAL,True,,,,,False,,PLAY|WL
ABAXILE,True,,,,,False,,PLAY|WL
ABBA,True,,,,,False,,PLAY|WL
ABBACIES,True,,,,,False,,PLAY|WL
ABBACY,True,,,,,False,,PLAY|WL
ABBAS,True,,,,,False,,PLAY|WL
ABBATIAL,True,,,,,False,,PLAY|WL
ABBE,True,,,,,False,,PLAY|WL
ABBES,True,,,,,False,,PLAY|WL
ABBESS,True,,,,,False,,PLAY|WL
ABBESSES,True,,,,,False,,PLAY|WL
ABBEY,True,3.88,noun,atomic=True,,False,,BAS|PLAY|WL
ABBEYS,True,,,,,False,,PLAY|WL
ABBOT,True,3.43,noun,atomic=False,,False,,BAS|PLAY|WL
ABBOTCIES,True,,,,,False,,PLAY|WL
ABBOTCY,True,,,,,False,,PLAY|WL
ABBOTS,True,,,,,False,,PLAY|WL
ABDICABLE,True,,,,,False,,PLAY|WL
ABDICATE,True,2.66,verb,atomic=False,,False,,BAS|PLAY|WL
ABDICATED,True,,,,,False,,PLAY|WL
ABDICATES,True,,,,,False,,PLAY|WL
ABDICATOR,True,,,,,False,,PLAY|WL
ABDOMEN,True,3.56,noun,atomic=False,,False,,BAS|PLAY|WL
ABDOMENS,True,,,,,False,,PLAY|WL
ABDOMINA,True,,,,,False,,PLAY|WL
ABDOMINAL,True,3.58,noun,atomic=False,,False,,BAS|PLAY|WL
ABDUCE,True,,,,,False,,PLAY|WL
ABDUCED,True,,,,,False,,PLAY|WL
ABDUCENS,True,,,,,False,,PLAY|WL
ABDUCENT,True,,,,,False,,PLAY|WL
ABDUCES,True,,,,,False,,PLAY|WL
ABDUCING,True,,,,,False,,PLAY|WL
ABDUCT,True,2.74,verb,atomic=True,,False,,BAS|PLAY|WL
ABDUCTED,True,3.56,verb,atomic=False,,False,,BAS|PLAY|WL
ABDUCTING,True,,,,,False,,PLAY|WL
ABDUCTION,True,3.43,noun,atomic=False,,False,,BAS|PLAY|WL
ABDUCTOR,True,,,,,False,,PLAY|WL
ABDUCTORS,True,,,,,False,,PLAY|WL
ABDUCTS,True,,,,,False,,PLAY|WL
ABEAM,True,,,,,False,,PLAY|WL
ABED,True,2.83,adv,atomic=True,,False,,BAS|PLAY|WL
ABELE,True,,,,,False,,PLAY|WL
ABELES,True,,,,,False,,PLAY|WL
ABELIA,True,,,,,False,,PLAY|WL
ABELIAN,True,,,,,False,,PLAY|WL
ABELIAS,True,,,,,False,,PLAY|WL
ABELMOSK,True,,,,,False,,PLAY|WL
ABELMOSKS,True,,,,,False,,PLAY|WL
ABERRANCE,True,,,,,False,,PLAY|WL
ABERRANCY,True,,,,,False,,PLAY|WL
ABERRANT,True,2.69,noun,atomic=False,,False,,BAS|PLAY|WL
ABERRANTS,True,,,,,False,,PLAY|WL
ABERRATED,True,,,,,False,,PLAY|WL
ABET,True,,,,,False,,PLAY|WL
ABETMENT,True,,,,,False,,PLAY|WL
ABETMENTS,True,,,,,False,,PLAY|WL
ABETS,True,,,,,False,,PLAY|WL
ABETTAL,True,,,,,False,,PLAY|WL
ABETTALS,True,,,,,False,,PLAY|WL
ABETTED,True,,,,,False,,PLAY|WL
ABETTER,True,,,,,False,,PLAY|WL
ABETTERS,True,,,,,False,,PLAY|WL
ABETTING,True,2.82,verb,atomic=False,,False,,BAS|PLAY|WL
ABETTOR,True,,,,,False,,PLAY|WL
ABETTORS,True,,,,,False,,PLAY|WL
