word,pos,zipf,flags,theme_tags
aba,noun,3.32,atomic=True,
aback,adv,2.99,atomic=True,
abacus,noun,2.65,atomic=False,
abalone,noun,2.66,atomic=True,
abandon,noun,4.02,atomic=False,
abandoned,verb,4.4,atomic=False,
abandons,noun,2.96,atomic=False,
abate,verb,2.68,atomic=True,
abatement,noun,2.73,atomic=False,
abbey,noun,3.88,atomic=True,
abbot,noun,3.43,atomic=False,
abdicate,verb,2.66,atomic=False,
abdomen,noun,3.56,atomic=False,
abdominal,noun,3.58,atomic=False,
abduct,verb,2.74,atomic=True,
abducted,verb,3.56,atomic=False,
abduction,noun,3.43,atomic=False,
abed,adv,2.83,atomic=True,
aberrant,noun,2.69,atomic=False,
abetting,verb,2.82,atomic=False,
abhor,verb,2.64,atomic=False,
abhorrent,adj,2.97,atomic=False,
abide,verb,3.59,atomic=True,
abiding,verb,3.45,atomic=False,
abilities,noun,4.21,atomic=False,
ability,noun,4.96,atomic=False,
abject,adj,3.0,atomic=False,
ablation,noun,2.77,atomic=False,
ablaze,adj,2.93,atomic=True,
able,adj,5.43,atomic=True,
ably,adv,2.67,atomic=True,
abnormal,adj,3.71,atomic=False,
abo,noun,2.77,atomic=True,
aboard,adv,4.14,atomic=True,
abode,noun,3.13,atomic=True,
abolish,verb,3.48,atomic=False,
abolished,verb,3.62,atomic=False,
abolition,noun,3.51,atomic=False,
abort,noun,3.27,atomic=True,
aborted,verb,3.18,atomic=False,
abortion,noun,4.24,atomic=False,
abortions,noun,3.53,atomic=False,
abortive,adj,2.67,atomic=True,
abound,verb,3.27,atomic=True,
abounds,verb,2.7,atomic=True,
about,adj,6.4,atomic=True,
above,noun,5.2,atomic=True,
abrasion,noun,2.91,atomic=False,
abrasions,noun,2.6,atomic=False,
abrasive,noun,3.22,atomic=False,
abreast,adj,2.95,atomic=True,
abridged,verb,3.01,atomic=True,
abroad,adj,4.39,atomic=True,
abrupt,adj,3.38,atomic=True,
abruptly,adv,3.56,atomic=False,
abs,noun,3.86,atomic=True,
abscess,noun,2.81,atomic=False,
absence,noun,4.34,atomic=False,
absences,noun,3.01,atomic=False,
absent,verb,3.98,atomic=False,
absentee,noun,3.17,atomic=False,
absinthe,noun,2.69,atomic=False,
absolute,noun,4.54,atomic=False,
absolve,verb,2.83,atomic=False,
absolved,verb,2.69,atomic=False,
absorb,verb,3.81,atomic=False,
absorbed,verb,3.92,atomic=False,
absorbent,noun,2.81,atomic=False,
absorber,noun,2.71,atomic=False,
absorbers,noun,2.65,atomic=False,
absorbing,verb,3.5,atomic=False,
absorbs,verb,3.18,atomic=False,
abstain,verb,3.07,atomic=False,
abstained,verb,2.78,atomic=False,
abstract,noun,4.14,atomic=False,
abstracts,noun,3.11,atomic=False,
absurd,noun,3.95,atomic=False,
absurdity,noun,3.21,atomic=False,
absurdly,adv,2.95,atomic=False,
abundance,noun,3.86,atomic=False,
abundant,adj,3.77,atomic=False,
abuse,noun,4.66,atomic=True,
abused,verb,4.0,atomic=True,
abuser,noun,3.14,atomic=False,
abusers,noun,3.25,atomic=True,
abuses,noun,3.69,atomic=False,
abusing,verb,3.62,atomic=False,
abusive,adj,3.87,atomic=False,
abysmal,adj,2.92,atomic=True,
abyss,noun,3.4,atomic=True,
acacia,noun,3.01,atomic=False,
academia,noun,3.54,atomic=True,
academic,noun,4.57,atomic=False,
academics,noun,3.78,atomic=False,
academies,noun,3.34,atomic=False,
academy,noun,4.57,atomic=False,
accent,noun,4.14,atomic=False,
accented,verb,2.9,atomic=False,
accents,noun,3.57,atomic=False,
accept,verb,4.85,atomic=False,
accepted,verb,4.67,atomic=False,
accepting,verb,4.18,atomic=False,
acceptor,noun,2.75,atomic=False,
accepts,verb,3.88,atomic=False,
access,noun,5.05,atomic=False,
accessed,verb,3.89,atomic=False,
accesses,noun,2.68,atomic=False,
accessing,verb,3.48,atomic=False,
accession,noun,3.4,atomic=False,
accessory,noun,3.63,atomic=False,
accident,noun,4.71,atomic=False,
accidents,noun,4.16,atomic=False,
acclaim,noun,3.29,atomic=False,
acclaimed,verb,3.7,atomic=False,
accolade,noun,2.82,atomic=False,
accolades,noun,3.17,atomic=False,
accompany,verb,3.81,atomic=False,
accord,noun,3.81,atomic=False,
accorded,verb,3.02,atomic=False,
according,verb,5.28,atomic=False,
accordion,noun,3.09,atomic=False,
accords,noun,3.14,atomic=False,
accosted,verb,2.66,atomic=False,
account,noun,5.21,atomic=False,
accounted,verb,3.82,atomic=False,
accounts,noun,4.73,atomic=False,
accretion,noun,2.78,atomic=False,
accrue,verb,2.91,atomic=False,
accrued,verb,3.14,atomic=False,
accuracy,noun,4.24,atomic=False,
accurate,adj,4.57,atomic=False,
accursed,verb,2.64,atomic=False,
accuse,verb,3.71,atomic=False,
accused,noun,4.46,atomic=False,
accuser,noun,2.99,atomic=False,
accusers,noun,2.86,atomic=False,
accuses,verb,3.42,atomic=False,
accusing,verb,3.74,atomic=False,
ace,noun,4.11,atomic=True,
aced,verb,2.61,atomic=True,
aces,noun,3.39,atomic=True,
acetate,noun,3.15,atomic=False,
acetic,adj,2.65,atomic=True,
acetone,noun,2.79,atomic=False,
acetyl,noun,2.72,atomic=True,
ache,noun,3.43,atomic=True,
aches,noun,3.28,atomic=True,
achieve,verb,4.57,atomic=True,
achieved,verb,4.49,atomic=True,
achievers,noun,2.72,atomic=False,
achieves,verb,3.33,atomic=True,
achieving,verb,4.03,atomic=False,
aching,noun,3.29,atomic=True,
acid,noun,4.45,atomic=True,
acidic,adj,3.34,atomic=True,
acidity,noun,3.2,atomic=False,
acids,noun,3.85,atomic=True,
acme,noun,2.89,atomic=True,
acne,noun,3.66,atomic=False,
acorn,noun,3.08,atomic=True,
acorns,noun,2.81,atomic=True,
acoustic,noun,3.98,atomic=False,
acoustics,noun,3.1,atomic=False,
acquire,verb,4.13,atomic=False,
acquired,verb,4.4,atomic=False,
acquires,verb,3.29,atomic=False,
acquiring,noun,3.8,atomic=False,
acquittal,noun,3.04,atomic=False,
acquitted,verb,3.44,atomic=False,
acre,noun,3.93,atomic=True,
acreage,noun,3.05,atomic=True,
acres,noun,4.17,atomic=True,
acrobat,noun,2.72,atomic=False,
acrobatic,adj,2.81,atomic=False,
acronym,noun,3.38,atomic=False,
acronyms,noun,2.87,atomic=True,
acropolis,noun,2.73,atomic=False,
across,adv,5.25,atomic=True,
acrylic,noun,3.42,atomic=True,
act,noun,5.3,atomic=True,
acted,verb,4.28,atomic=False,
actin,noun,3.14,atomic=True,
acting,noun,4.82,atomic=False,
action,noun,5.25,atomic=False,
actions,noun,4.82,atomic=False,
activate,verb,3.76,atomic=False,
activated,verb,4.01,atomic=False,
activates,verb,3.18,atomic=False,
activator,noun,2.78,atomic=False,
active,noun,4.93,atomic=False,
actively,adv,4.23,atomic=False,
actives,noun,2.6,atomic=False,
activism,noun,3.67,atomic=False,
activist,noun,4.13,atomic=False,
activists,noun,4.13,atomic=False,
activity,noun,4.86,atomic=False,
actor,noun,4.65,atomic=False,
actors,noun,4.4,atomic=False,
actress,noun,4.45,atomic=False,
actresses,noun,3.49,atomic=False,
acts,noun,4.64,atomic=True,
actual,adj,4.85,atomic=False,
actuality,noun,3.1,atomic=False,
actually,adv,5.49,atomic=False,
actuarial,adj,2.79,atomic=False,
actuator,noun,2.77,atomic=False,
actuators,noun,2.72,atomic=False,
acuity,noun,2.81,atomic=False,
acumen,noun,2.91,atomic=False,
acute,noun,4.0,atomic=True,
acutely,adv,3.13,atomic=False,
adage,noun,2.95,atomic=True,
adamant,noun,3.28,atomic=True,
adamantly,adv,2.69,atomic=False,
adapt,verb,3.98,atomic=True,
adaptable,adj,3.12,atomic=False,
adapted,verb,4.17,atomic=False,
adapter,noun,3.6,atomic=True,
adapters,noun,2.86,atomic=True,
adapting,verb,3.5,atomic=False,
adaption,noun,2.73,atomic=False,
adaptive,adj,3.61,atomic=False,
adaptor,noun,2.64,atomic=False,
adapts,verb,2.88,atomic=True,
add,noun,5.09,atomic=True,
added,verb,5.16,atomic=True,
addendum,noun,2.89,atomic=False,
adder,noun,2.69,atomic=True,
addict,noun,3.68,atomic=False,
addicted,verb,3.82,atomic=False,
addicting,verb,2.82,atomic=False,
addiction,noun,4.14,atomic=False,
addictive,adj,3.61,atomic=False,
addicts,noun,3.5,atomic=False,
adding,verb,4.67,atomic=True,
addition,noun,5.01,atomic=False,
additions,noun,3.8,atomic=False,
additive,noun,3.33,atomic=False,
additives,noun,3.25,atomic=False,
address,noun,4.91,atomic=False,
addressed,verb,4.26,atomic=False,
addresses,noun,4.13,atomic=False,
adds,noun,4.38,atomic=True,
adenosine,noun,2.68,atomic=False,
adept,noun,3.33,atomic=True,
adequacy,noun,2.85,atomic=False,
adequate,adj,4.05,atomic=False,
adhere,verb,3.57,atomic=False,
adhered,verb,3.12,atomic=False,
adherence,noun,3.34,atomic=False,
adherent,noun,2.6,atomic=False,
adherents,noun,3.13,atomic=False,
adheres,verb,2.86,atomic=False,
adhering,verb,3.13,atomic=False,
adhesion,noun,3.14,atomic=False,
adhesive,noun,3.37,atomic=False,
adhesives,noun,2.89,atomic=False,
adieu,noun,2.83,atomic=True,
adios,noun,2.68,atomic=True,
adipose,adj,2.76,atomic=False,
adjacent,adj,4.12,atomic=False,
adjective,noun,3.34,atomic=False,
adjoining,verb,3.5,atomic=False,
adjourn,verb,2.71,atomic=False,
adjourned,verb,3.34,atomic=False,
adjudged,verb,2.62,atomic=False,
adjunct,noun,3.3,atomic=False,
adjust,verb,4.07,atomic=False,
adjusted,verb,4.11,atomic=False,
adjuster,noun,2.68,atomic=False,
adjusting,verb,3.71,atomic=False,
adjusts,verb,3.03,atomic=False,
adjutant,noun,3.12,atomic=False,
admirable,adj,3.48,atomic=False,
admirably,adv,2.91,atomic=False,
admiral,noun,4.0,atomic=False,
admirals,noun,2.77,atomic=False,
admiralty,noun,3.44,atomic=False,
admire,verb,3.97,atomic=False,
admired,verb,3.72,atomic=False,
admirer,noun,3.19,atomic=False,
admirers,noun,3.17,atomic=False,
admires,verb,2.96,atomic=False,
admiring,verb,3.3,atomic=False,
admission,noun,4.15,atomic=False,
admit,verb,4.58,atomic=False,
admits,verb,3.94,atomic=False,
admitted,verb,4.49,atomic=False,
admitting,verb,3.8,atomic=False,
ado,noun,3.2,atomic=True,
adobe,noun,3.53,atomic=True,
adonis,noun,2.9,atomic=False,
adopt,verb,4.19,atomic=True,
adopted,verb,4.51,atomic=False,
adopters,noun,2.85,atomic=True,
adopting,verb,3.78,atomic=False,
adoption,noun,4.17,atomic=False,
adoptions,noun,2.82,atomic=False,
adoptive,adj,3.22,atomic=False,
adopts,verb,3.26,atomic=True,
adorable,adj,4.06,atomic=True,
adoration,noun,3.11,atomic=False,
adore,verb,3.7,atomic=True,
adored,verb,3.32,atomic=True,
adores,verb,2.92,atomic=True,
adoring,verb,2.82,atomic=False,
adorn,verb,3.01,atomic=True,
adorned,verb,3.37,atomic=True,
adrenal,noun,2.99,atomic=True,
adrift,adj,3.06,atomic=True,
ads,noun,4.32,atomic=True,
adulation,noun,2.6,atomic=False,
