text,len,combo_count,is_syntactic,morph_prefix,morph_suffix,pos_start,pos_end,atomic_slice,semantic_weight,game_weight,start_combo_count
aa,2,29,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0
aal,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.78,0.78,0
aar,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.58,0.58,0
ab,2,1574,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1.1,87
aba,3,103,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,9
aban,4,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.77,0.87,3
aband,5,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.8,0.9,3
abas,4,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,1.3,0
abase,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,0
abash,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.88,0.88,0
abat,4,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.21,1.21,1
abb,3,111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.15,1.15,2
abba,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.69,0.69,0
abbe,4,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.17,1.17,0
abbed,5,11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1.04,1.14,0
abbi,4,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,1.3,0
abbl,4,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,1.3,0
abble,5,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.96,1.06,0
abby,4,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.77,0.87,0
abd,3,26,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,6
abdi,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,1
abdic,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,1
abdo,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,2
abdom,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,2
abdu,4,13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.97,1.07,3
